Description,size
*  25:101 Fault yaw inverter - (Cross short circuit system 1),17
*  25:201 Fault yaw inverter - (Cross short circuit system 2),33
*  42:138 Pitch control error - (Motor current too high blade A),6
*  42:238 Pitch control error - (Motor current too high blade B),2
*  42:338 Pitch control error - (Motor current too high blade C),7
*  47:11 Fault safety system - (Limit switch not reached blade A),4
*  47:13 Fault safety system - (Limit switch not reached blade C),7
*  47:3 Fault safety system - (Blade C),1
*  90:9 Prot. circuit-breaker tripped - (Power supply rotor),2
* 12:1 Rotor lock - (Activated (switch)),17
* 25:137 Fault yaw inverter - (Difference phase current system 1),7
* 25:208 Fault yaw inverter - (IGBT-driver system 2),12
* 25:237 Fault yaw inverter - (Difference phase current system 2),20
* 47:10 Fault safety system - (Main safety circuit),6
* 50:14 Monitoring sensor - (Noises in spinner),9
* 66:41 Fault rectifier - (Earth contact system 1),7
* 66:42 Fault rectifier - (Earth contact system 2),7
* 72:101 Air gap monitoring - (Sensor 1 blade A),10
* 72:102 Air gap monitoring - (Sensor 2 blade A),24
* 72:201 Air gap monitoring - (Sensor 1 blade B),15
* 72:202 Air gap monitoring - (Sensor 2 blade B),11
* 72:301 Air gap monitoring - (Sensor 1 blade C),5
* 72:302 Air gap monitoring - (Sensor 2 blade C),9
* 80:10 Fault excitation - (Overtemperature heatsink),31
* 90:304 Prot. circuit-breaker tripped - (Mains filter inverter 4),3
* 90:305 Prot. circuit-breaker tripped - (Mains filter inverter 5),1
* 90:306 Prot. circuit-breaker tripped - (Mains filter inverter 6),1
* 90:308 Prot. circuit-breaker tripped - (Mains filter inverter 8),2
* 90:309 Prot. circuit-breaker tripped - (Mains filter inverter 9),2
* 91:14 Semiconductor fuse blown - (Excitation),2
*11:0 Rotor brake activated manual - (Rotor brake activated manual),33
*122:105 Fault Transformer - (Oil-level),1
*12:2 Rotor lock - (Completely set (sensor)),2
*30:0 Vibration sensor - (Vibration sensor),1
*41:3 Rotor overspeed switch - (Blade C),1
*42:202 Pitch control error - (Limit switch 90° blade B),1
*76:1 Bearing temperature - (Overtemp. front bearing),7
*90:405 Prot. circuit-breaker tripped - (Fan power cabinet 5),3
*90:406 Prot. circuit-breaker tripped - (Fan power cabinet 6),1
*90:409 Prot. circuit-breaker tripped - (Fan power cabinet 9),1
*90:61 Prot. circuit-breaker tripped - (Yaw drive 11),1
*90:63 Prot. circuit-breaker tripped - (Yaw inverter),1
BRANNVARSEL**112:21 Smoke detector - (Nacelle (main carrier))**,2
BRANNVARSEL**112:22 Smoke detector - (Nacelle (hatch))**,12
N   15:1 Turbine moist - (Turbine moist Inverter 1),115
N   15:111 Turbine moist - (Turbine moist (Rectifier 1)),13
N   15:19 Turbine moist - (Several inverters),14
N   15:2 Turbine moist - (Turbine moist Inverter 2),10
N   15:6 Turbine moist - (Turbine moist Inverter 6),3
N   15:7 Turbine moist - (Turbine moist Inverter 7),1
N   15:8 Turbine moist - (Turbine moist Inverter 8),1
N   17:0 Test safety system - (Test safety system),338
N   1:1 Turbine Stopped - (Control cabinet),363
N   1:3 Turbine Stopped - (Scada system (ENERCON)),61
N   1:4 Turbine Stopped - (Nacelle),3
N   1:7 Turbine Stopped - (Scada system Control Center),3
N   1:8 Turbine Stopped - (Remote displays),1
N   21:1 Cable twisted - (Left (2-3 turns)),118
N   21:2 Cable twisted - (Right (2-3 turns)),710
N   21:4 Cable twisted - (Right (>3 turns)),1
N   2:1 Lack of wind - (Wind speed too low),10700
N   2:2 Lack of wind - (Rotor speed too low),201
N   306:61 No data from - (Anemometer Interf. for I/O2 nacelle),9
N   3:12 Storm - (Average windspeed - (10min)),317
N   3:3 Storm - (Maximum blade angle),5
N   9:1 Generator heating - (Isometer),99
N   9:4 Generator heating - (Hygrostat rectifier),40
N   9:8 Generator heating - (Manual),459
N  8:0 Maintenance - (Maintenance),1772
N  9:3 Generator heating - (Hygrostat inverter),225
N->* 3h   14:11 Ice detection - (Rotor (power measurement)),45
R  152:110 Program incompatible !! - (Display),1
R  16:0 Overspeed-switch test - (Test in process),2
R  192:1 Fault UPS - (UPS not activated),14
R  192:21 Fault UPS - (Overcurrent I-Rectifier),1
R  192:23 Fault UPS - (Overcurrent hardware L2),1
R  192:24 Fault UPS - (Overcurrent hardware L3),1
R  192:60 Fault UPS - (Temperature switch heatsink),13
R  20:64 Fault wind measurement - (Constant wind direction),27
R  20:65 Fault wind measurement - (Overflow wind direction),5
R  20:71 Fault wind measurement - (Wind speed too low),1
R  220:10 Processor reset - (UPS CPU1),1
R  220:11 Processor reset - (UPS CPU2),7
R  220:30 Processor reset - (Farm-Control-Interface),7
R  220:33 Processor reset - (Power Control),248
R  220:61 Processor reset - (Anemometer Interface),16
R  220:84 Processor reset - (I/O-board 2 nacelle),1
R  222:1 Turbine reset - (Power failure),300
R  222:2 Turbine reset - (Quit button),34
R  222:3 Turbine reset - (Scada system),215
R  222:4 Turbine reset - (Quit button nacelle),16
R  228:100 Timeout warnmessage - (Fault air cooling),17
R  228:22 Timeout warnmessage - (Fault yaw control),30
R  228:29 Timeout warnmessage - (Anemometer Interface),2
R  228:90 Timeout warnmessage - (Prot. circuit-breaker tripped),47
R  228:95 Timeout warnmessage - (Fault temperature-measurement),4
R  22:10 Fault yaw control - (Yaw lock activated),1
R  22:40 Fault yaw control - (No yawing),10
R  22:48 Fault yaw control - (Too few pulses from yaw sensor 1 + 2),2
R  22:51 Fault yaw control - (No change of nacelle position),3
R  22:52 Fault yaw control - (Change of nacelle position faulty),2
R  240:0 STATUS: Remote control PC (switched on),430
R  240:1 STATUS: Remote control PC (switched off),306
R  240:246 STATUS: Remote control PC (Timeout receivebuffer),333
R  25:107 Fault yaw inverter - (Overvoltage DC-link system 1),12
R  25:109 Fault yaw inverter - (Charging error system 1),24
R  25:119 Fault yaw inverter - (No data from slave (serial)),2
R  25:125 Fault yaw inverter - (EEPROM faulty control board system1),4
R  25:134 Fault yaw inverter - (Overspeed system 1),75
R  25:135 Fault yaw inverter - (No output current system 1),7
R  25:136 Fault yaw inverter - (Yawing moment too low system 1),40
R  25:206 Fault yaw inverter - (Current measurement system 2),28
R  25:207 Fault yaw inverter - (Overvoltage DC-link system 2),17
R  25:219 Fault yaw inverter - (No data from master (serial)),3
R  25:235 Fault yaw inverter - (No output current system 2),4
R  25:236 Fault yaw inverter - (Yawing moment too low system 2),19
R  25:99 Fault yaw inverter - (Inverter deactivated too often),4
R  29:31 Anemonmeter Interface - (Error data transmission us-sensor),45
R  29:32 Anemonmeter Interface - (Timeout data transmission us-sensor),10
R  29:41 Anemonmeter Interface - (Fault 1 ultra sonic sensor),105
R  300:17 Turbine control bus error - (Blade A),24
R  300:18 Turbine control bus error - (Blade B),16
R  300:19 Turbine control bus error - (Blade C),19
R  300:25 Turbine control bus error - (Excitation),3
R  300:51 Turbine control bus error - (Yaw Inverter 1),19
R  300:52 Turbine control bus error - (Yaw Inverter 2),2
R  300:61 Turbine control bus error - (Anemometer Interface),3
R  300:81 Turbine control bus error - (I/O-board control cabinet),41
R  300:83 Turbine control bus error - (I/O-board 1 nacelle),14
R  300:84 Turbine control bus error - (I/O-board 2 nacelle),8
R  304:17 Data bus error (Timeout) - (Blade A),12
R  304:18 Data bus error (Timeout) - (Blade B),7
R  304:19 Data bus error (Timeout) - (Blade C),1
R  304:25 Data bus error (Timeout) - (Excitation),1
R  304:30 Data bus error (Timeout) - (Farm-Control-Interface),6
R  304:51 Data bus error (Timeout) - (Yaw inverter 1),16
R  304:52 Data bus error (Timeout) - (Yaw inverter 2),3
R  304:56 Data bus error (Timeout) - (Fan inverter),1
R  304:61 Data bus error (Timeout) - (Anemometer Interface),13
R  304:83 Data bus error (Timeout) - (I/O-board 1 nacelle),9
R  304:84 Data bus error (Timeout) - (I/O-board 2 nacelle),1
R  304:97 Data bus error (Timeout) - (Rectifier 1),11
R  304:98 Data bus error (Timeout) - (Rectifier 2),46
R  305:84 No data from I/O-Board control c - (I/O-board 2 nacelle),26
R  306:51 No data from - (Yaw inverter 1 for I/O2 nacelle),2
R  306:52 No data from - (Yaw inverter 2 for I/O2 nacelle),2
R  31:1 Tower oscillation - (Transversal oscillation),4
R  31:11 Tower oscillation - (Transversal oscillation (max.)),37
R  320:83 Malfunction IIC-bus - (I/O-board 1 nacelle),1
R  326:81 Checksum error - (Parameter memory I/O-board contr. cab.),2
R  40:1 Rotor overspeed - (Measurement pitch control),1
R  40:2 Rotor overspeed - (Measurement I/O-board),6
R  429:209 Error supply hardware - (Inverter Control 9),1
R  42:1 Pitch control error - (Speed after stop too high),1
R  42:105 Pitch control error - (Angle monitoring 3° blade A),32
R  42:106 Pitch control error - (Angle monitoring 56° blade A),21
R  42:107 Pitch control error - (Angle error blade A),6
R  42:122 Pitch control error - (Supply power stage blade A),2
R  42:134 Pitch control error - (Overtemperature motor 1 blade A),22
R  42:150 Pitch control error - (DC-link not chargeable blade A),1
R  42:2 Pitch control error - (Blade angle > 50°),2
R  42:205 Pitch control error - (Angle monitoring 3° blade B),5
R  42:206 Pitch control error - (Angle monitoring 56° blade B),2
R  42:207 Pitch control error - (Angle error blade B),4
R  42:222 Pitch control error - (Supply power stage blade B),8
R  42:234 Pitch control error - (Overtemperature motor blade B),36
R  42:239 Pitch control error - (Motor current after stop too high blade B),1
R  42:305 Pitch control error - (Angle monitoring 3° blade C),9
R  42:306 Pitch control error - (Angle monitoring 56° blade C),7
R  42:307 Pitch control error - (Angle error blade C),30
R  42:322 Pitch control error - (Supply power stage blade C),3
R  42:334 Pitch control error - (Overtemperature motor blade C),62
R  434:83 Error +10V ref. Sensoric - (I/O-board 1 nacelle),8
R  438:206 Error supply IGBT-driver - (Inverter Control 6),32
R  43:0 Main security stop capacitor - (Main security circuit fault),73
R  45:113 Capacitor charging error - (Trickle charge curr. too high 175V cap.A),1
R  460:83 Potential fault sensors - (I/O-board 1 nacelle),2
R  460:84 Potential fault sensors - (I/O-board 2 nacelle),1
R  48:13 Fault speed sensor - (No index from speed sensor),1
R  48:21 Fault speed sensor - (Intermittent speed pulses),1
R  48:22 Fault speed sensor - (Double speed pulses),27
R  48:4 Fault speed sensor - (Measurement pitch control),30
R  60:11 Mains failure - (Undervoltage L1),10
R  60:12 Mains failure - (Undervoltage L2),43
R  60:13 Mains failure - (Undervoltage L3),20
R  60:14 Mains failure - (Overvoltage L1),1
R  60:15 Mains failure - (Overvoltage L2),440
R  60:16 Mains failure - (Overvoltage L3),3
R  60:17 Mains failure - (Underfrequency),17
R  60:18 Mains failure - (Overfrequency),27
R  60:27 Mains failure - (Underfrequency (restart)),1
R  60:28 Mains failure - (Overfrequency (restart)),35
R  61:0 Mains breakdown - (Mains breakdown),3
R  62:102 STATUS: Feeding fault (To low power inverter 2),12
R  62:103 STATUS: Feeding fault (To low power inverter 3),1
R  62:104 STATUS: Feeding fault (To low power inverter 4),70
R  62:105 STATUS: Feeding fault (To low power inverter 5),8
R  62:106 STATUS: Feeding fault (To low power inverter 6),25
R  62:107 STATUS: Feeding fault (To low power inverter 7),80
R  62:202 Feeding fault - (Too much power inverter 2),55
R  62:204 Feeding fault - (Too much power inverter 4),1
R  62:205 Feeding fault - (Too much power inverter 5),5
R  62:208 Feeding fault - (Too much power inverter 8),1
R  62:30 Feeding fault - (Feeding safety circuit faulty),105
R  62:301 Feeding fault - (Mains contactor off inverter 1),2
R  62:302 Feeding fault - (Mains contactor off inverter 2),2
R  62:319 Feeding fault - (Mains contactor off several inverters),2
R  62:7 Feeding fault - (Diff. P-set/P-actual),424
R  62:701 Feeding fault - (Overload chopper inverter 1),6
R  62:702 Feeding fault - (Overload chopper inverter 2),3
R  62:703 Feeding fault - (Overload chopper inverter 3),5
R  62:704 Feeding fault - (Overload chopper inverter 4),6
R  62:705 Feeding fault - (Overload chopper inverter 5),8
R  62:706 Feeding fault - (Overload chopper inverter 6),5
R  62:707 Feeding fault - (Overload chopper inverter 7),3
R  62:708 Feeding fault - (Overload chopper inverter 8),2
R  62:709 Feeding fault - (Overload chopper inverter 9),1
R  62:719 Feeding fault - (Overload chopper several inv.),31
R  64:407 Overcurrent inverter - (Step-up-chopper inverter 7),10
R  64:504 Overcurrent inverter - (I-Rectifier inverter 4),4
R  64:505 Overcurrent inverter - (I-Rectifier inverter 5),3
R  64:507 Overcurrent inverter - (I-Rectifier inverter 7),1
R  64:508 Overcurrent inverter - (I-Rectifier inverter 8),1
R  64:509 Overcurrent inverter - (I-Rectifier inverter 9),1
R  64:604 Overcurrent inverter - (Cross short circuit inverter 4),1
R  64:605 Overcurrent inverter - (Cross short circuit inverter 5),1
R  64:608 Overcurrent inverter - (Cross short circuit inverter 8),1
R  64:704 Overcurrent inverter - (Collective fault message inv. 4),5
R  64:705 Overcurrent inverter - (Collective fault message inv. 5),4
R  64:707 Overcurrent inverter - (Collective fault message inv. 7),1
R  64:708 Overcurrent inverter - (Collective fault message inv. 8),2
R  64:709 Overcurrent inverter - (Collective fault message inv. 9),2
R  66:1 Fault rectifier - (Overcurrent phase U1),2
R  66:2 Fault rectifier - (Overcurrent phase V1),2
R  66:21 Fault rectifier - (Isometer system 1),17
R  66:22 Fault rectifier - (Isometer system 2),18
R  66:23 Fault rectifier - (Isometer system 1+2),14
R  66:3 Fault rectifier - (Fault rectifier Overcurrent phase W1),1
R  66:31 Fault rectifier - (DC-link measurement system 1),9
R  66:32 Fault rectifier - (DC-link measurement system 2),9
R  66:4 Fault rectifier - (Overcurrent phase U2),11
R  66:5 Fault rectifier - (Overcurrent phase V2),5
R  66:6 Fault rectifier - (Overcurrent phase W2),3
R  67:501 Overtemperature - (Thermo switch heatsink inv. 1),11
R  67:504 Overtemperature - (Thermo switch heatsink inv. 4),1
