Description,size
* 25:208 Fault yaw inverter - (IGBT-driver system 2),6
* 91:14 Semiconductor fuse blown - (Excitation),1
*42:202 Pitch control error - (Limit switch 90° blade B),3
*76:1 Bearing temperature - (Overtemp. front bearing),4
N   14:16 Turbine  stopped  preventive ,3
N   17:0 Test safety system - (Test safety system),90
N   1:1 Turbine Stopped - (Control cabinet),23
N   1:7 Turbine Stopped - (Scada system Control Center),53
N   21:1 Cable twisted - (Left (2-3 turns)),10
N   21:2 Cable twisted - (Right (2-3 turns)),154
N   2:1 Lack of wind - (Wind speed too low),1762
N   2:2 Lack of wind - (Rotor speed too low),69
N   3:3 Storm - (Maximum blade angle),1
N   3:4 Storm - (Average blade angle),3
N   9:1 Generator heating - (Isometer),31
N   9:8 Generator heating - (Manual),1
N  8:0 Maintenance - (Maintenance),235
R  220:33 Processor reset - (Power Control),16
R  222:1 Turbine reset - (Power failure),17
R  222:3 Turbine reset - (Scada system),10
R  228:29 Timeout warnmessage - (Anemometer Interface),1
R  22:35 Fault yaw control - (Uncontroller yawing),1
R  22:40 Fault yaw control - (No yawing),1
R  22:51 Fault yaw control - (No change of nacelle position),1
R  240:0 STATUS: Remote control PC (switched on),102
R  240:1 STATUS: Remote control PC (switched off),68
R  240:246 STATUS: Remote control PC (Timeout receivebuffer),37
R  25:109 Fault yaw inverter - (Charging error system 1),5
R  25:136 Fault yaw inverter - (Yawing moment too low system 1),1
R  25:235 Fault yaw inverter - (No output current system 2),1
R  25:236 Fault yaw inverter - (Yawing moment too low system 2),2
R  29:41 Anemonmeter Interface - (Fault 1 ultra sonic sensor),5
R  304:17 Data bus error (Timeout) - (Blade A),2
R  304:51 Data bus error (Timeout) - (Yaw inverter 1),4
R  304:56 Data bus error (Timeout) - (Fan inverter),2
R  304:84 Data bus error (Timeout) - (I/O-board 2 nacelle),1
R  42:106 Pitch control error - (Angle monitoring 56° blade A),1
R  42:206 Pitch control error - (Angle monitoring 56° blade B),1
R  42:207 Pitch control error - (Angle error blade B),1
R  42:300 No  change  of  blade  angle  C ,1
R  42:4 Pitch control error - (Pitch speed too low during stop),5
R  43:1 Main security stop capacitor - (Interruption),13
R  61:0 Mains breakdown - (Mains breakdown),32
R  62:906 Feeding fault - (External shut down inverter 6),10
R  64:503 Overcurrent inverter - (I-Rectifier inverter 3),1
R  64:507 Overcurrent inverter - (I-Rectifier inverter 7),1
R  64:508 Overcurrent inverter - (I-Rectifier inverter 8),1
R  64:601 Overcurrent inverter - (Cross short circuit inverter 1),2
R  64:603 Overcurrent inverter - (Cross short circuit inverter 3),2
R  64:606 Overcurrent inverter - (Cross short circuit inverter 6),1
R  64:607 Overcurrent inverter - (Cross short circuit inverter 7),1
R  64:701 Overcurrent inverter - (Collective fault message inv. 1),2
R  64:703 Overcurrent inverter - (Collective fault message inv. 3),3
R  64:706 Overcurrent inverter - (Collective fault message inv. 6),1
R  64:707 Overcurrent inverter - (Collective fault message inv. 7),1
R  64:708 Overcurrent inverter - (Collective fault message inv. 8),1
R  66:21 Fault rectifier - (Isometer system 1),5
R  66:22 Fault rectifier - (Isometer system 2),6
R  66:23 Fault rectifier - (Isometer system 1+2),2
R  66:31 Fault rectifier - (DC-link measurement system 1),3
R  66:32 Fault rectifier - (DC-link measurement system 2),4
R  67:502 Overtemperature - (Thermo switch heatsink inv. 2),9
R  67:505 Overtemperature - (Thermo switch heatsink inv. 5),6
R  70:2 Generator overtemperature - (Rotor),8
R  70:6 Generator overtemperature - (Rotor (measurement blade B)),18
R  95:3 Fault temperature-measurement - (Bearing front),4
